NO. OF CONSTITUENCY,NAME OF CONSTITUENCY,NAME OF PROVINCE,POPULATION,Party ,Candidates
NA-1,Chitral Upper-cum-Chitral Lower,Khyber Pakhtunkhwa,"515,935",PPP,Fazli Rabbi
NA-1,Chitral Upper-cum-Chitral Lower,Khyber Pakhtunkhwa,"515,935",JUI(F),Muhammad Talha Mahmood
NA-1,Chitral Upper-cum-Chitral Lower,Khyber Pakhtunkhwa,"515,935",ANP ,Khadija Bibi
NA-1,Chitral Upper-cum-Chitral Lower,Khyber Pakhtunkhwa,"515,935",PMLN ,Iftikhar uddin
NA-1,Chitral Upper-cum-Chitral Lower,Khyber Pakhtunkhwa,"515,935",Pakistan Tehreek-e-Insaf,Abdul Latif
NA-2,SWAT-1,Khyber Pakhtunkhwa,"883,636",Pakistan Tehreek-e-Insaf,Dr. Amjad
NA-2,SWAT-1,Khyber Pakhtunkhwa,"883,636",PPP,Haider Ali Khan
NA-2,SWAT-1,Khyber Pakhtunkhwa,"883,636",PMLN ,Amir Muqam
NA-2,SWAT-1,Khyber Pakhtunkhwa,"883,636",ANP ,Muhammad Ayub Khan
NA-2,SWAT-1,Khyber Pakhtunkhwa,"883,636",JI,Naveed Igbal
NA-2,SWAT-1,Khyber Pakhtunkhwa,"883,636",JUI(F),Abdul Ghafoor
NA-3,SWAT-2,Khyber Pakhtunkhwa,"867,243",Pakistan Tehreek-e-Insaf,Saleem ur Rehman
NA-3,SWAT-2,Khyber Pakhtunkhwa,"867,243",PPP,Shaharyar Amirzeb
NA-3,SWAT-2,Khyber Pakhtunkhwa,"867,243",PMLN ,Muhammad Nisar Khan
NA-3,SWAT-2,Khyber Pakhtunkhwa,"867,243",ANP ,Sher Baz Khan
NA-3,SWAT-2,Khyber Pakhtunkhwa,"867,243",JI,Sahib Zada Tariq Ullah
NA-3,SWAT-2,Khyber Pakhtunkhwa,"867,243",JUI(F),Kaisar Khan
NA-4,SWAT-3,Khyber Pakhtunkhwa,"936,506",Pakistan Tehreek-e-Insaf,Sohail Sultan
NA-4,SWAT-3,Khyber Pakhtunkhwa,"936,506",PPP,Kamal Khan
NA-4,SWAT-3,Khyber Pakhtunkhwa,"936,506",ANP ,Muhammad Saleem Khan
NA-4,SWAT-3,Khyber Pakhtunkhwa,"936,506",Jamiat Ulema-e-Islam (F),Rahim Ullah
NA-4,SWAT-3,Khyber Pakhtunkhwa,"936,506",Pakistan Tahreek Insaf Parliamentarian,Mehmood Khan
NA-5,Upper Dir,Khyber Pakhtunkhwa,"1,083,566",Pakistan Tehreek-e-Insaf,Sahibzada Sibghatullah Virk
NA-5,Upper Dir,Khyber Pakhtunkhwa,"1,083,566",PPP,Najam Uddin Khan
NA-5,Upper Dir,Khyber Pakhtunkhwa,"1,083,566",PMLN ,Muhammad Nisar Khan
NA-5,Upper Dir,Khyber Pakhtunkhwa,"1,083,566",ANP ,Bahadar Khan
NA-5,Upper Dir,Khyber Pakhtunkhwa,"1,083,566",Jamiat Ulema-e-Islam (F),Muhammad Nabi
NA-5,Upper Dir,Khyber Pakhtunkhwa,"1,083,566",Jamaat-e-Islami Pakistan ,Sahib Zada Tariq Ullah
NA-5,Upper Dir,Khyber Pakhtunkhwa,"1,083,566",Pakistan Tahreek Insaf Parliamentarian,Muhammad Ibrahim
NA-6,Lower Dir-1,Khyber Pakhtunkhwa,"853,612",Pakistan Tehreek-e-Insaf,Bashir Khan
NA-6,Lower Dir-1,Khyber Pakhtunkhwa,"853,612",PPP,Muhammad Hanif 
NA-6,Lower Dir-1,Khyber Pakhtunkhwa,"853,612",PMLN ,Roh Ullah Khan
NA-6,Lower Dir-1,Khyber Pakhtunkhwa,"853,612",ANP ,Muhammad Zahid Khan
NA-6,Lower Dir-1,Khyber Pakhtunkhwa,"853,612",Jamiat Ulema-e-Islam (F),Muhammad Sher Khan
NA-6,Lower Dir-1,Khyber Pakhtunkhwa,"853,612",Jamaat-e-Islami Pakistan ,Sirajul Hag
NA-7,Lower Dir-2,Khyber Pakhtunkhwa,"796,571",Pakistan Tehreek-e-Insaf,Mehboob Shah
NA-7,Lower Dir-2,Khyber Pakhtunkhwa,"796,571",PPP,Alam Zaib Khan
NA-7,Lower Dir-2,Khyber Pakhtunkhwa,"796,571",PMLN ,Yasir Khan
NA-7,Lower Dir-2,Khyber Pakhtunkhwa,"796,571",ANP ,Khan Zeb
NA-7,Lower Dir-2,Khyber Pakhtunkhwa,"796,571",Jamiat Ulema-e-Islam (F),Siraj Ud Din
NA-7,Lower Dir-2,Khyber Pakhtunkhwa,"796,571",Jamaat-e-Islami Pakistan ,Muhammad Ismail
NA-8,Bajaur,Khyber Pakhtunkhwa,"1,287,960",Pakistan Tehreek-e-Insaf,Gul Zafar Khan
NA-8,Bajaur,Khyber Pakhtunkhwa,"1,287,960",PPP,Syed Akhunzada Chattan
NA-8,Bajaur,Khyber Pakhtunkhwa,"1,287,960",PMLN ,Shahab Ud Din Khan
NA-8,Bajaur,Khyber Pakhtunkhwa,"1,287,960",Jamaat-e-Islami Pakistan ,Sahibzada Haroon Ur Rashid
NA-9,Malakand,Khyber Pakhtunkhwa,"826,250",Pakistan Tehreek-e-Insaf,Junaid Akbar
NA-9,Malakand,Khyber Pakhtunkhwa,"826,250",PPP,Syed Ahmad Ali Shah
NA-9,Malakand,Khyber Pakhtunkhwa,"826,250",PMLN ,Sajjad Ahmad
NA-9,Malakand,Khyber Pakhtunkhwa,"826,250",Jamiat Ulema-e-Islam (F),Kifayat Ullah
NA-9,Malakand,Khyber Pakhtunkhwa,"826,250",Jamaat-e-Islami Pakistan ,Bakht Jehan Khan
NA-9,Malakand,Khyber Pakhtunkhwa,"826,250",Pakistan Tahreek Insaf Parliamentarian,Muhammad Zeeshan
NA-10,Buner,Khyber Pakhtunkhwa,"1,016,869",Pakistan Tehreek-e-Insaf,Barrister Gohar Ali Khan
NA-10,Buner,Khyber Pakhtunkhwa,"1,016,869",PPP,Yousaf Ali
NA-10,Buner,Khyber Pakhtunkhwa,"1,016,869",PMLN ,Salar Khan
NA-10,Buner,Khyber Pakhtunkhwa,"1,016,869",ANP ,Abdur Rauf
NA-10,Buner,Khyber Pakhtunkhwa,"1,016,869",Pakistan Tahreek Insaf Parliamentarian,Sher Akbar Khan
NA-11,Shangla,Khyber Pakhtunkhwa,"891,252",Pakistan Tehreek-e-Insaf,Said Fareed Khan
NA-11,Shangla,Khyber Pakhtunkhwa,"891,252",PPP,Muhammad Alam Khan
NA-11,Shangla,Khyber Pakhtunkhwa,"891,252",PMLN ,Amir Muqam
NA-11,Shangla,Khyber Pakhtunkhwa,"891,252",ANP ,Aurang Zeb khan 
NA-11,Shangla,Khyber Pakhtunkhwa,"891,252",Pakistan Tahreek Insaf Parliamentarian,Mian Nazir Rahman
NA-12,Kohistan Upper -cum- Kohistan Lower-cum-Kolai Palas Kohistan,Khyber Pakhtunkhwa,"1,043,126",Pakistan Tehreek-e-Insaf,Taj Muhammad
NA-12,Kohistan Upper -cum- Kohistan Lower-cum-Kolai Palas Kohistan,Khyber Pakhtunkhwa,"1,043,126",PPP,Mehboob Ullah Jan
NA-13,Battagram,Khyber Pakhtunkhwa,"554,133",Pakistan Tehreek-e-Insaf,Muhammad Nawaz Khan
NA-13,Battagram,Khyber Pakhtunkhwa,"554,133",PMLN ,Moin Khan
NA-13,Battagram,Khyber Pakhtunkhwa,"554,133",Jamiat Ulema-e-Islam (F),Muhammad Yousaf
NA-13,Battagram,Khyber Pakhtunkhwa,"554,133",Jamaat-e-Islami Pakistan ,syed tariq Hussain Shah Sehrazi
NA-14,Mansehra,Khyber Pakhtunkhwa,"969,443",Pakistan Tehreek-e-Insaf,Muhammad Saleem Imran
NA-14,Mansehra,Khyber Pakhtunkhwa,"969,443",PPP,Muhammad Shuja Khan
NA-14,Mansehra,Khyber Pakhtunkhwa,"969,443",PMLN ,Sardar Muhammad Yousaf Zaman
NA-14,Mansehra,Khyber Pakhtunkhwa,"969,443",Jamaat-e-Islami Pakistan ,Muhammad Khalid
NA-15,Mansehra-cum-Tor Ghar,Khyber Pakhtunkhwa,"1,028,179",Pakistan Tehreek-e-Insaf,Shehzada Muhammad Gustasif Khan
NA-15,Mansehra-cum-Tor Ghar,Khyber Pakhtunkhwa,"1,028,179",PPP,Zar Gul Khan
NA-15,Mansehra-cum-Tor Ghar,Khyber Pakhtunkhwa,"1,028,179",PMLN ,Muhammad Nawaz Sharif
NA-15,Mansehra-cum-Tor Ghar,Khyber Pakhtunkhwa,"1,028,179",Jamiat Ulema-e-Islam (F),Mufti Kitayat Ullah
NA-15,Mansehra-cum-Tor Ghar,Khyber Pakhtunkhwa,"1,028,179",Pakistan Awami Thereek,Naseer khan
NA-15,Mansehra-cum-Tor Ghar,Khyber Pakhtunkhwa,"1,028,179",Pakistan Tahreek Insaf Parliamentarian,Saleh Muhmmad
NA-16,Abbottabad-1,Khyber Pakhtunkhwa,"699,311",Pakistan Tehreek-e-Insaf,Ali Asghar Khan
NA-16,Abbottabad-1,Khyber Pakhtunkhwa,"699,311",PPP,Noor ul Ain
NA-16,Abbottabad-1,Khyber Pakhtunkhwa,"699,311",PMLN ,Murtaza Javed Abbasi
NA-16,Abbottabad-1,Khyber Pakhtunkhwa,"699,311",Jamiat Ulema-e-Islam (F),Ahmed Naseer
NA-16,Abbottabad-1,Khyber Pakhtunkhwa,"699,311",Pakistan Awami Thereek,Muhammad Anwar Abbasi
NA-16,Abbottabad-1,Khyber Pakhtunkhwa,"699,311",Pakistan Tahreek Insaf Parliamentarian,Shamraiz Khan
NA-17,Abbottabad-2,Khyber Pakhtunkhwa,"719,761",Pakistan Tehreek-e-Insaf,Ali Khan Jadoon
NA-17,Abbottabad-2,Khyber Pakhtunkhwa,"719,761",PPP,Saleem Shah
NA-17,Abbottabad-2,Khyber Pakhtunkhwa,"719,761",PMLN ,Muhabbat Awan
NA-17,Abbottabad-2,Khyber Pakhtunkhwa,"719,761",Jamiat Ulema-e-Islam (F),Adnan Bin Abdul Aziz
NA-18,Haripur,Khyber Pakhtunkhwa,"1,174,783",Pakistan Tehreek-e-Insaf,Omar Ayub Khan
NA-18,Haripur,Khyber Pakhtunkhwa,"1,174,783",PPP,Syed Ali Zwari Hussain Naqvi
NA-18,Haripur,Khyber Pakhtunkhwa,"1,174,783",PMLN ,Babar Nawaz Khan
NA-18,Haripur,Khyber Pakhtunkhwa,"1,174,783",Jamiat Ulema-e-Islam (F),Muhammad Ayub
NA-19,Swabi-1,Khyber Pakhtunkhwa,"951,404",Pakistan Tehreek-e-Insaf,Asad Qaiser
NA-19,Swabi-1,Khyber Pakhtunkhwa,"951,404",PPP,Muhammad Bilal Khan Sher Pao
NA-19,Swabi-1,Khyber Pakhtunkhwa,"951,404",ANP ,Shahnawaz Khanzada
NA-19,Swabi-1,Khyber Pakhtunkhwa,"951,404",Jamiat Ulema-e-Islam (F),Fazal Ali
NA-19,Swabi-1,Khyber Pakhtunkhwa,"951,404",Jamaat-e-Islami Pakistan ,Umar Gul
NA-20,Swabi-2,Khyber Pakhtunkhwa,"943,196",Pakistan Tehreek-e-Insaf,Shahram Khan Tarakai
NA-20,Swabi-2,Khyber Pakhtunkhwa,"943,196",PPP,Usman Khan
NA-20,Swabi-2,Khyber Pakhtunkhwa,"943,196",ANP ,Waris Khan
NA-20,Swabi-2,Khyber Pakhtunkhwa,"943,196",Jamiat Ulema-e-Islam (F),Abdur Rahim Khan
NA-21,Mardan-1,Khyber Pakhtunkhwa,"976,527",Pakistan Tehreek-e-Insaf,Mujahid Khan
NA-21,Mardan-1,Khyber Pakhtunkhwa,"976,527",PPP,Asad Ullah Khan
NA-21,Mardan-1,Khyber Pakhtunkhwa,"976,527",ANP ,Muhammad Ali
NA-21,Mardan-1,Khyber Pakhtunkhwa,"976,527",Jamiat Ulema-e-Islam (F),Azam Khan
NA-22,Mardan-2,Khyber Pakhtunkhwa,"893,577",Pakistan Tehreek-e-Insaf,Muhammad Atif
NA-22,Mardan-2,Khyber Pakhtunkhwa,"893,577",PPP,Syed Abid Ali Shah
NA-22,Mardan-2,Khyber Pakhtunkhwa,"893,577",ANP ,Ameer Haider Azam Khan 
NA-22,Mardan-2,Khyber Pakhtunkhwa,"893,577",Jamiat Ulema-e-Islam (F),Nyaz Ali
NA-23,Mardan-3,Khyber Pakhtunkhwa,"874,794",Pakistan Tehreek-e-Insaf,Ali Muhammad Khan
NA-23,Mardan-3,Khyber Pakhtunkhwa,"874,794",PPP,Shoaib Alam Khan
NA-23,Mardan-3,Khyber Pakhtunkhwa,"874,794",PMLN ,Jalal Khan Khattak
NA-23,Mardan-3,Khyber Pakhtunkhwa,"874,794",ANP ,Ahmad Khan
NA-23,Mardan-3,Khyber Pakhtunkhwa,"874,794",Jamiat Ulema-e-Islam (F),Kaleem Ullah Khan
NA-24,Charsadda-1,Khyber Pakhtunkhwa,"926,066",Pakistan Tehreek-e-Insaf,Anwar Taj
NA-24,Charsadda-1,Khyber Pakhtunkhwa,"926,066",PPP,Shazia Tehmas Khan
NA-24,Charsadda-1,Khyber Pakhtunkhwa,"926,066",PMLN ,Farah Khan
NA-24,Charsadda-1,Khyber Pakhtunkhwa,"926,066",ANP ,Irfan Ali 
NA-24,Charsadda-1,Khyber Pakhtunkhwa,"926,066",Jamiat Ulema-e-Islam (F),Gohar Ali
NA-25,Charsadda-2,Khyber Pakhtunkhwa,"909,438",Pakistan Tehreek-e-Insaf,Fazal Muhammad Khan
NA-25,Charsadda-2,Khyber Pakhtunkhwa,"909,438",PPP,Aftab Alam
NA-25,Charsadda-2,Khyber Pakhtunkhwa,"909,438",ANP ,Aimal Wali Khan
NA-25,Charsadda-2,Khyber Pakhtunkhwa,"909,438",Jamiat Ulema-e-Islam (F),Molana Muhammad Gohar Shah
NA-25,Charsadda-2,Khyber Pakhtunkhwa,"909,438",Pakistan Tahreek Insaf Parliamentarian,Falak Niaz
NA-26,Mohmand,Khyber Pakhtunkhwa,"553,933",Pakistan Tehreek-e-Insaf,Sajid Khan
NA-26,Mohmand,Khyber Pakhtunkhwa,"553,933",PPP,Abdul Waheed Khan
NA-26,Mohmand,Khyber Pakhtunkhwa,"553,933",PMLN ,Zar Khan 
NA-26,Mohmand,Khyber Pakhtunkhwa,"553,933",ANP ,Nisar Ahmad
NA-26,Mohmand,Khyber Pakhtunkhwa,"553,933",Jamiat Ulema-e-Islam (F),Muhammad Arif
NA-26,Mohmand,Khyber Pakhtunkhwa,"553,933",Jamaat-e-Islami Pakistan ,Muhammad Saeed
NA-27,Khyber,Khyber Pakhtunkhwa,"1,146,267",Pakistan Tehreek-e-Insaf,Muhammad Iqbal Khan
NA-27,Khyber,Khyber Pakhtunkhwa,"1,146,267",PPP,Shah Rehman
NA-27,Khyber,Khyber Pakhtunkhwa,"1,146,267",PMLN ,Shah Jee Gul Afridi
NA-27,Khyber,Khyber Pakhtunkhwa,"1,146,267",ANP ,Shah Hussain
NA-27,Khyber,Khyber Pakhtunkhwa,"1,146,267",Jamiat Ulema-e-Islam (F),Hameed Ullab Jan Afridi
NA-28,Peshawar-1,Khyber Pakhtunkhwa,"985,067",Pakistan Tehreek-e-Insaf,Sajid Nawaz Khan
NA-28,Peshawar-1,Khyber Pakhtunkhwa,"985,067",PPP,Kiramat Ullah Khan
NA-28,Peshawar-1,Khyber Pakhtunkhwa,"985,067",ANP ,Muhammad Fayaz Khan
NA-28,Peshawar-1,Khyber Pakhtunkhwa,"985,067",Jamiat Ulema-e-Islam (F),Noor Alam Khan
NA-28,Peshawar-1,Khyber Pakhtunkhwa,"985,067",Jamaat-e-Islami Pakistan ,Muhammad Saeed
NA-29,Peshawar-2,Khyber Pakhtunkhwa,"917,781",Pakistan Tehreek-e-Insaf,Arbab Amir Ayub
NA-29,Peshawar-2,Khyber Pakhtunkhwa,"917,781",PPP,Malik Amjad Aziz Khan
NA-29,Peshawar-2,Khyber Pakhtunkhwa,"917,781",PMLN ,Sobia Shahid
NA-29,Peshawar-2,Khyber Pakhtunkhwa,"917,781",ANP ,Saqib Ullah Khan
NA-29,Peshawar-2,Khyber Pakhtunkhwa,"917,781",Jamiat Ulema-e-Islam (F),Akhunzada Irfan Ullah Shah
NA-29,Peshawar-2,Khyber Pakhtunkhwa,"917,781",PMLQ ,Riaz Ahmed Jan
NA-30,Peshawar-3,Khyber Pakhtunkhwa,"932,556",Pakistan Tehreek-e-Insaf,Shandana Gulzar
NA-30,Peshawar-3,Khyber Pakhtunkhwa,"932,556",PPP,Mishab ud Din
NA-30,Peshawar-3,Khyber Pakhtunkhwa,"932,556",PMLN ,Raees Khan
NA-30,Peshawar-3,Khyber Pakhtunkhwa,"932,556",ANP ,Zain Umar Arbab
NA-30,Peshawar-3,Khyber Pakhtunkhwa,"932,556",Jamiat Ulema-e-Islam (F),Nasir Khan
NA-30,Peshawar-3,Khyber Pakhtunkhwa,"932,556",Pakistan Tahreek Insaf Parliamentarian,Arbab Mohammad Haleem
NA-31,Peshawar-4,Khyber Pakhtunkhwa,"953,527",Pakistan Tehreek-e-Insaf,Sher Ali Arbab
NA-31,Peshawar-4,Khyber Pakhtunkhwa,"953,527",PPP,Arbab Alamgir Khan
NA-31,Peshawar-4,Khyber Pakhtunkhwa,"953,527",PMLN ,Sobia Shahid
NA-31,Peshawar-4,Khyber Pakhtunkhwa,"953,527",ANP ,Syed Haroon Shah
NA-31,Peshawar-4,Khyber Pakhtunkhwa,"953,527",Jamiat Ulema-e-Islam (F),Muhammad Saeed Jan
NA-31,Peshawar-4,Khyber Pakhtunkhwa,"953,527",Pakistan Tahreek Insaf Parliamentarian,Muhammad Saleem Akhtar Durrani
NA-32,Peshawar-5,Khyber Pakhtunkhwa,"969,831",Pakistan Tehreek-e-Insaf,Asif Khan
NA-32,Peshawar-5,Khyber Pakhtunkhwa,"969,831",PPP,Abid Ullah Khan
NA-32,Peshawar-5,Khyber Pakhtunkhwa,"969,831",PMLN ,Sher Rehman
NA-32,Peshawar-5,Khyber Pakhtunkhwa,"969,831",ANP ,Haji Ghulam Ahmad Bilour
NA-32,Peshawar-5,Khyber Pakhtunkhwa,"969,831",Jamiat Ulema-e-Islam (F),Hussain Ahmad Madni
NA-32,Peshawar-5,Khyber Pakhtunkhwa,"969,831",Pakistan Tahreek Insaf Parliamentarian,Abdul Waheed Khan
NA-33,Nowshera-1,Khyber Pakhtunkhwa,"895,313",Pakistan Tehreek-e-Insaf,Syed Shah Ahad Ali Shah
NA-33,Nowshera-1,Khyber Pakhtunkhwa,"895,313",PPP,Saleem Ullah Khan
NA-33,Nowshera-1,Khyber Pakhtunkhwa,"895,313",PMLN ,Ikhtiar Wali
NA-33,Nowshera-1,Khyber Pakhtunkhwa,"895,313",ANP ,Khan Parvez
NA-33,Nowshera-1,Khyber Pakhtunkhwa,"895,313",Jamiat Ulema-e-Islam (F),Ijaz Ul Haq
NA-33,Nowshera-1,Khyber Pakhtunkhwa,"895,313",Jamaat-e-Islami Pakistan ,Inayat Ur Rahman
NA-33,Nowshera-1,Khyber Pakhtunkhwa,"895,313",Pakistan Tahreek Insaf Parliamentarian,Prevez Khattak
NA-34,Nowshera-2,Khyber Pakhtunkhwa,"845,392",Pakistan Tehreek-e-Insaf,Zulfiqar
NA-34,Nowshera-2,Khyber Pakhtunkhwa,"845,392",PPP,Muhammad Idrees Khan
NA-34,Nowshera-2,Khyber Pakhtunkhwa,"845,392",PMLN ,Muhammad Kashif
NA-34,Nowshera-2,Khyber Pakhtunkhwa,"845,392",ANP ,Mian Babar Shah Kakakhel
NA-34,Nowshera-2,Khyber Pakhtunkhwa,"845,392",Jamiat Ulema-e-Islam (F),Pervaiz Khan Khattaq
NA-34,Nowshera-2,Khyber Pakhtunkhwa,"845,392",Pakistan Tahreek Insaf Parliamentarian,Imran Khattak
NA-35,Kohat,Khyber Pakhtunkhwa,"1,234,661",Pakistan Tehreek-e-Insaf,Shahriyar Afridi
NA-35,Kohat,Khyber Pakhtunkhwa,"1,234,661",PMLN ,Abbas Afridi
NA-35,Kohat,Khyber Pakhtunkhwa,"1,234,661",ANP ,Noor Aslam 
NA-35,Kohat,Khyber Pakhtunkhwa,"1,234,661",Jamiat Ulema-e-Islam (F),Gohar Muhammad Khan Bnagash
NA-36,Hangu-cum-Orakzai,Khyber Pakhtunkhwa,"916,463",Pakistan Tehreek-e-Insaf,Yousif Khan
NA-36,Hangu-cum-Orakzai,Khyber Pakhtunkhwa,"916,463",PPP,Malak Mumtaz Khan
NA-36,Hangu-cum-Orakzai,Khyber Pakhtunkhwa,"916,463",PMLN ,Alhaj Muhammad farid Mufakkar
NA-36,Hangu-cum-Orakzai,Khyber Pakhtunkhwa,"916,463",Jamiat Ulema-e-Islam (F),Ubaid Ullah
NA-36,Hangu-cum-Orakzai,Khyber Pakhtunkhwa,"916,463",Jamaat-e-Islami Pakistan ,Afrasiab
NA-37,Kurram,Khyber Pakhtunkhwa,"785,434",Pakistan Tehreek-e-Insaf,Hameed Hussain
NA-37,Kurram,Khyber Pakhtunkhwa,"785,434",PPP,Sajid Hussain Turi
NA-37,Kurram,Khyber Pakhtunkhwa,"785,434",PMLN ,Muhammad Ullah
NA-37,Kurram,Khyber Pakhtunkhwa,"785,434",Jamiat Ulema-e-Islam (F),Asmat Ullah
NA-37,Kurram,Khyber Pakhtunkhwa,"785,434",Jamaat-e-Islami Pakistan ,Abdur Rasheed Khan
NA-38,Karak,Khyber Pakhtunkhwa,"815,878",Pakistan Tehreek-e-Insaf,Shahid Ahmad Khattak
NA-38,Karak,Khyber Pakhtunkhwa,"815,878",PPP,Mehar Sultana
NA-38,Karak,Khyber Pakhtunkhwa,"815,878",PMLN ,Akhlaq Younas
NA-38,Karak,Khyber Pakhtunkhwa,"815,878",ANP ,Hamid Khan Toofan
NA-38,Karak,Khyber Pakhtunkhwa,"815,878",Jamiat Ulema-e-Islam (F),Shah Abdul Aziz
NA-39,Bannu,Khyber Pakhtunkhwa,"1,367,890",Pakistan Tehreek-e-Insaf,Naseem Ali Shah
NA-39,Bannu,Khyber Pakhtunkhwa,"1,367,890",PPP,Farzana Sherin
NA-39,Bannu,Khyber Pakhtunkhwa,"1,367,890",PMLN ,Ghani Ur Rehman
NA-39,Bannu,Khyber Pakhtunkhwa,"1,367,890",Jamiat Ulema-e-Islam (F),Zahid Akram Durrani
NA-39,Bannu,Khyber Pakhtunkhwa,"1,367,890",Jamaat-e-Islami Pakistan ,Muhammad Ibrahim Khan
NA-39,Bannu,Khyber Pakhtunkhwa,"1,367,890",Pakistan Tahreek Insaf Parliamentarian,Syed Qaiser Abbas Shah
NA-40,North Waziristan,Khyber Pakhtunkhwa,"693,332",Pakistan Tehreek-e-Insaf,Aurangzeb Khan
NA-40,North Waziristan,Khyber Pakhtunkhwa,"693,332",PMLN ,Muhammad Nazir Khan
NA-40,North Waziristan,Khyber Pakhtunkhwa,"693,332",ANP ,Ashraf Ullah 
NA-40,North Waziristan,Khyber Pakhtunkhwa,"693,332",Jamiat Ulema-e-Islam (F),Misbhau  din walid Ahmadu din 
NA-41,Lakki Marwat,Khyber Pakhtunkhwa,"1,040,856",Pakistan Tehreek-e-Insaf,Sher Afzal Marwat
NA-41,Lakki Marwat,Khyber Pakhtunkhwa,"1,040,856",PMLN,Mansoor Kamal Marwat
NA-41,Lakki Marwat,Khyber Pakhtunkhwa,"1,040,856",ANP,Muhammad Riaz Khan
NA-41,Lakki Marwat,Khyber Pakhtunkhwa,"1,040,856",Jamiat Ulema-e-Islam (F),Asjad Mahmood
NA-41,Lakki Marwat,Khyber Pakhtunkhwa,"1,040,856",Jamaat-e-Islami Pakistan ,Irfan Ullah
NA-42,South Waziristan Upper-cum-South Waziristan Lower,Khyber Pakhtunkhwa,"888,675",Pakistan Tehreek-e-Insaf,Zubair Khan Wazir
NA-42,South Waziristan Upper-cum-South Waziristan Lower,Khyber Pakhtunkhwa,"888,675",PPP,Anam Ullah
NA-42,South Waziristan Upper-cum-South Waziristan Lower,Khyber Pakhtunkhwa,"888,675",PMLN,Ghalib Khan
NA-42,South Waziristan Upper-cum-South Waziristan Lower,Khyber Pakhtunkhwa,"888,675",ANP,Hameed Ullah 
NA-42,South Waziristan Upper-cum-South Waziristan Lower,Khyber Pakhtunkhwa,"888,675",Jamiat Ulema-e-Islam (F),Muhammad Jamal ud Din
NA-43,Tank-cum-Dera lsmail Khan,Khyber Pakhtunkhwa,"764,095",Pakistan Tehreek-e-Insaf,Dawar Khan
NA-43,Tank-cum-Dera lsmail Khan,Khyber Pakhtunkhwa,"764,095",PPP,Anwar Saifullah Khan
NA-43,Tank-cum-Dera lsmail Khan,Khyber Pakhtunkhwa,"764,095",PMLN,Muhammad Akbar Khan
NA-43,Tank-cum-Dera lsmail Khan,Khyber Pakhtunkhwa,"764,095",ANP,Arshad Mansoor Shah
NA-43,Tank-cum-Dera lsmail Khan,Khyber Pakhtunkhwa,"764,095",Jamiat Ulema-e-Islam (F),Asad Mahmood
NA-43,Tank-cum-Dera lsmail Khan,Khyber Pakhtunkhwa,"764,095",Jamaat-e-Islami Pakistan ,Muhammad Imtiaz
NA-44,Dera lsmail Khan-1,Khyber Pakhtunkhwa,"772,742",Pakistan Tehreek-e-Insaf,Ayaz Amir
NA-44,Dera lsmail Khan-1,Khyber Pakhtunkhwa,"772,742",PPP,Faisal Karim Kundi
NA-44,Dera lsmail Khan-1,Khyber Pakhtunkhwa,"772,742",ANP,Sherullah Khan
NA-44,Dera lsmail Khan-1,Khyber Pakhtunkhwa,"772,742",Jamiat Ulema-e-Islam (F),FazI Ur Rahman
NA-44,Dera lsmail Khan-1,Khyber Pakhtunkhwa,"772,742",Pakistan Tehreek-e-Insaf,Syed Muhammad Jawad Asghar Shah
NA-45,Dera lsmail Khan-2,Khyber Pakhtunkhwa,"763,267",Pakistan Tehreek-e-Insaf,Muhammad Ruman Ahmad
NA-45,Dera lsmail Khan-2,Khyber Pakhtunkhwa,"763,267",PPP,Fateh Ullah Khan
NA-45,Dera lsmail Khan-2,Khyber Pakhtunkhwa,"763,267",ANP,Shahi Khan
NA-45,Dera lsmail Khan-2,Khyber Pakhtunkhwa,"763,267",Jamiat Ulema-e-Islam (F),Obaid Ur Rehman
NA-45,Dera lsmail Khan-2,Khyber Pakhtunkhwa,"763,267",Jamaat-e-Islami Pakistan ,Muhammad Ijaz
NA-46,ICT-1,Federal Capital,"782,561",Pakistan Tehreek-e-Insaf,Hassan Adeel Advocate
NA-46,ICT-1,Federal Capital,"782,561",PPP,Raja Imran Ashraf
NA-46,ICT-1,Federal Capital,"782,561",MQM,Shehzad Asif Javed
NA-46,ICT-1,Federal Capital,"782,561",PMLN,Anjum Aqeel Khan
NA-46,ICT-1,Federal Capital,"782,561",ANP,Saif ullah
NA-46,ICT-1,Federal Capital,"782,561",Jamaat-e-Islami Pakistan ,Mian Mohammad Aslam
NA-46,ICT-1,Federal Capital,"782,561",Pakistan Awami Thereek,Muhammad Shafique
NA-46,ICT-1,Federal Capital,"782,561",Pakistan Awami League,Nasir Mehmood
NA-47,ICT-2,Federal Capital,"800,692",Pakistan Tehreek-e-Insaf,Shaukat Iqbal Mirza
NA-47,ICT-2,Federal Capital,"800,692",PPP,Syed Sibtal Haider Bukhari
NA-47,ICT-2,Federal Capital,"800,692",MQM,Syed Nadeem Mansur
NA-47,ICT-2,Federal Capital,"800,692",TLP,Hafiz Khawar Ikhlas
NA-47,ICT-2,Federal Capital,"800,692",PMLN,Tariq Fazal Chaudhary
NA-47,ICT-2,Federal Capital,"800,692",ANP,Syed Masood Shah
NA-47,ICT-2,Federal Capital,"800,692",PMLQ,Syed Faqir Hussain Shah Bukhari 
NA-47,ICT-2,Federal Capital,"800,692",Pakistan Awami Thereek,Nasir Mehmood
